# limit = 22.4681
#
# x           y           z           vx          vy          vz          s           m
-5.1416e-01  9.2653e-01  8.3067e-01  3.1083e+00  2.5403e+01 -2.3538e+00  2.5700e+01  1.0000e+00
-2.6228e-01  1.0835e+00 -1.2693e-01 -9.1183e+00 -5.8697e+00 -9.8133e+00  1.4625e+01  1.0000e+00
 2.2382e+01  1.0078e+00  4.3832e+00  3.4051e+01  2.0570e+00  6.6651e+00  3.4758e+01  1.0000e+00
 9.5421e-04  8.5478e-01  1.5507e-01 -3.1346e+00  4.4050e+00  1.2255e+01  1.3395e+01  1.0000e+00
-1.8968e+01  7.1572e+00  1.1379e+01 -2.9296e+01  1.0855e+01  1.7286e+01  3.5705e+01  1.0000e+00
 8.2572e+00 -2.5808e+00  2.3491e+01  1.2998e+01 -3.5697e+00  3.6222e+01  3.8649e+01  1.0000e+00
 1.2293e+00 -1.9115e+01 -1.3216e+01  1.4083e+00 -2.9297e+01 -2.0005e+01  3.5503e+01  1.0000e+00
-9.6551e-01  1.5710e+00  1.7627e-01 -3.1463e+00  2.1186e+00 -1.3546e+00  4.0277e+00  1.0000e+00
-3.0008e+01  2.1886e+01  6.7786e+01 -4.5547e+01  3.3390e+01  1.0464e+02  1.1890e+02  1.0000e+00
 4.5984e+01 -2.4605e+01  1.1979e+00  1.1448e+02 -6.2004e+01  3.0410e+00  1.3022e+02  1.0000e+00
 2.9343e+00  4.1739e+00  2.5883e+00  9.0352e-03  2.4618e+00  6.9405e-01  2.5577e+00  1.0000e+00
-6.6332e-01  1.4534e+00  1.7026e-01  3.2351e+00  6.1425e+00  2.5935e-01  6.9472e+00  1.0000e+00
-9.8494e-01  3.6487e+00  5.5592e-01  1.8891e+00  1.8005e+00  3.8168e+00  4.6237e+00  1.0000e+00
 5.6055e+00  1.5567e+00 -7.8748e-01  5.0525e+00  2.7928e+00  4.2418e-01  5.7886e+00  1.0000e+00
 1.8005e+00 -1.3163e+00  5.7204e-01  1.7286e+00 -1.5841e+00 -1.1750e+00  2.6225e+00  1.0000e+00
-7.7841e+00 -1.4744e+00 -5.7489e+00 -8.5747e+00 -3.9897e+00 -5.3280e+00  1.0855e+01  1.0000e+00
 1.3692e+01 -1.4316e+01 -1.6399e+01  2.1026e+01 -2.2073e+01 -2.5486e+01  3.9735e+01  1.0000e+00
-8.5064e-02  6.4552e-01  2.7308e-01  3.4662e+00 -2.1354e+01 -3.8039e+00  2.1966e+01  1.0000e+00
-1.4953e-01  1.1077e+00  3.9092e-01  1.2502e+01  1.8216e+00  2.4098e+00  1.2862e+01  1.0000e+00
 4.7533e+01  3.8639e+01 -1.6742e+01  7.3441e+01  5.8889e+01 -2.5204e+01  9.7451e+01  1.0000e+00
 3.8092e-01  1.1167e+00  6.0611e-01  7.7399e+00  8.4860e+00 -1.8552e+00  1.1634e+01  1.0000e+00
-4.2691e-01  9.1455e-01  1.9819e-01 -1.6482e+01  2.3993e+01 -4.3959e+00  2.9439e+01  1.0000e+00
-3.7654e+00 -4.5261e+00  7.2785e+00 -8.2315e+00 -1.1744e+01  1.6019e+01  2.1501e+01  1.0000e+00
-1.0249e+01  1.9407e+01 -1.9606e+01 -1.5926e+01  3.0502e+01 -3.0479e+01  4.5967e+01  1.0000e+00
-7.1216e-01  2.1974e+01 -9.7282e+00 -1.2341e+00  3.3783e+01 -1.4848e+01  3.6923e+01  1.0000e+00
-5.3586e+00  3.0777e+00 -8.2551e+00 -8.0262e+00  5.4076e+00 -1.0159e+01  1.4031e+01  1.0000e+00
 6.9871e+00 -1.7199e+01  3.2874e+00  1.0056e+01 -2.6290e+01  4.7736e+00  2.8549e+01  1.0000e+00
